seg_id,pci,pci_desc,maintenance_priority
SS-000002-PV1,56.59,Fair,Low
SS-000003-PV1,80.0,Satisfactory,Routine
SS-000004-PV1,86.4,Good,Routine
SS-000005-PV1,67.86,Fair,Low
SS-000006-PV1,95.53,Good,Routine
SS-000007-PV1,87.44,Good,Routine
SS-000008-PV1,67.61,Fair,Low
SS-000009-PV1,89.71,Good,Routine
SS-000010-PV1,70.12,Satisfactory,Routine
SS-000011-PV1,86.65,Good,Routine
SS-000012-PV1,91.41,Good,Routine
SS-000013-PV1,51.16,Poor,Medium
SS-000014-PV1,91.47,Good,Routine
SS-000015-PV1,91.31,Good,Routine
SS-000016-PV1,60.48,Fair,Low
SS-000018-PV1,57.95,Fair,Low
SS-000019-PV1,19.88,Serious,Critical
SS-000020-PV1,43.24,Poor,Medium
SS-000021-PV1,50.49,Poor,Medium
SS-000022-PV1,47.7,Poor,Medium
SS-000023-PV1,45.9,Poor,Medium
SS-000024-PV1,92.34,Good,Routine
SS-000025-PV1,88.2,Good,Routine
SS-000026-PV1,12.92,Serious,Critical
SS-000027-PV1,63.64,Fair,Low
SS-000028-PV1,70.29,Satisfactory,Routine
SS-000029-PV1,52.46,Poor,Medium
SS-000030-PV1,70.97,Satisfactory,Routine
SS-000031-PV1,85.4,Good,Routine
SS-000032-PV1,29.76,Very Poor,High
SS-000033-PV1,74.85,Satisfactory,Routine
SS-000034-PV1,69.2,Fair,Low
SS-000035-PV1,79.71,Satisfactory,Routine
SS-000036-PV1,86.54,Good,Routine
SS-000037-PV1,25.73,Very Poor,High
SS-000038-PV1,48.64,Poor,Medium
SS-000039-PV1,29.24,Very Poor,High
SS-000041-PV1,87.52,Good,Routine
SS-000042-PV1,80.79,Satisfactory,Routine
SS-000043-PV1,80.32,Satisfactory,Routine
SS-000044-PV1,76.79,Satisfactory,Routine
SS-000045-PV1,78.2,Satisfactory,Routine
SS-000046-PV1,75.71,Satisfactory,Routine
SS-000047-PV1,53.83,Poor,Medium
SS-000048-PV1,90.6,Good,Routine
SS-000049-PV1,88.76,Good,Routine
SS-000050-PV1,73.17,Satisfactory,Routine
SS-000051-PV1,67.73,Fair,Low
SS-000052-PV1,82.81,Satisfactory,Routine
SS-000053-PV1,74.86,Satisfactory,Routine
SS-000054-PV1,64.07,Fair,Low
SS-000055-PV1,67.02,Fair,Low
SS-000056-PV1,89.45,Good,Routine
SS-000057-PV1,82.67,Satisfactory,Routine
SS-000058-PV1,79.04,Satisfactory,Routine
SS-000059-PV1,70.72,Satisfactory,Routine
SS-000060-PV1,98.26,Good,Routine
SS-000061-PV1,98.21,Good,Routine
SS-000062-PV1,54.28,Poor,Medium
SS-000063-PV1,54.81,Poor,Medium
SS-000064-PV1,85.56,Good,Routine
SS-000065-PV1,74.58,Satisfactory,Routine
SS-000066-PV1,61.82,Fair,Low
SS-000067-PV1,55.34,Fair,Low
SS-000068-PV1,37.51,Very Poor,High
SS-000069-PV1,82.0,Satisfactory,Routine
SS-000070-PV1,90.8,Good,Routine
SS-000071-PV1,49.29,Poor,Medium
SS-000072-PV1,62.1,Fair,Low
SS-000073-PV1,64.31,Fair,Low
SS-000074-PV1,74.55,Satisfactory,Routine
SS-000075-PV1,76.1,Satisfactory,Routine
